date,open,high,low,close,volume,amount,turnover,code,name,pct_chg
2020-01-02,3617.3664336,3705.5948832,3585.38362062,3590.89789872,101213040,3342373870.6,1.0418,000002,万科A,
2020-01-03,3607.44073302,3618.46928922,3504.87516036,3534.6522621,80553629,2584309903.29,0.8292,000002,万科A,-1.566339066339062
2020-01-06,3501.5665935,3502.66944912,3446.4238125,3475.09805862,87684058,2761448649.61,0.9025,000002,万科A,-1.6848673946957882
2020-01-07,3486.12661482,3521.41799466,3457.4523687,3502.66944912,57793343,1827510871.94,0.5949,000002,万科A,0.7933989209774728
2020-01-08,3451.9380906,3503.77230474,3424.3667001,3493.84660416,52999684,1667143803.08,0.5455,000002,万科A,-0.25188916876575096
2020-01-09,3545.6808183,3582.07505376,3512.5951497,3551.1950964,78373446,2519927706.82,0.8067,000002,万科A,1.6414141414141437
2020-01-10,3529.137984,3553.40080764,3457.4523687,3469.58378052,55744373,1762516212.1,0.5738,000002,万科A,-2.298136645962734
2020-01-13,3462.9666468,3504.87516036,3447.52666812,3493.84660416,62074912,1957169612.15,0.6389,000002,万科A,0.6993006993007089
2020-01-14,3479.5094811,3505.97801598,3459.65807994,3461.86379118,41971228,1322400772.1,0.432,000002,万科A,-0.9154040404040331
2020-01-15,3451.9380906,3472.89234738,3359.29821852,3362.60678538,67294431,2071443624.89,0.6927,000002,万科A,-2.8671551449506283
2020-01-16,3376.94390844,3411.13243266,3352.6810848,3367.01820786,58139589,1779302393.93,0.5984,000002,万科A,0.13119055428010284
2020-01-17,3376.94390844,3402.3095877,3343.85823984,3359.29821852,47221927,1442665863.08,0.4861,000002,万科A,-0.22928267278087278
2020-01-20,3363.709641,3364.81249662,3255.62979024,3294.22973694,91563767,2730988423.02,0.9425,000002,万科A,-1.936966513460281
2020-01-21,3260.04121272,3293.12688132,3200.48700924,3221.44126602,81796927,2399809082.59,0.842,000002,万科A,-2.2095748242383584
2020-01-22,3220.3384104,3346.06395108,3218.13269916,3320.69827182,93771024,2796437180.95,0.9652,000002,万科A,3.0811365970558002
2020-01-23,3275.4811914,3284.30403636,3162.98991816,3196.07558676,98694879,2884502300.28,1.0159,000002,万科A,-3.7529060112919344
2020-02-03,2877.35031258,3035.05866624,2876.24745696,2936.90451606,153086547,4119846241.35,1.5757,000002,万科A,-8.10904071773637
2020-02-04,2966.6816178,3073.65861294,2966.6816178,3046.08722244,103628313,2838999600.3,1.0667,000002,万科A,3.717611716109648
2020-02-05,3033.95581062,3085.79002476,3001.97299764,3048.29293368,80068551,2213431074.59,0.8242,000002,万科A,0.07241129616220032
2020-02-06,3060.4243455,3101.23000344,3024.03011004,3076.9671798,87186933,2412853830.13,0.8974,000002,万科A,0.940665701881338
2020-02-07,3031.75009938,3043.8815112,3000.87014202,3032.852955,71378548,1956685390.11,0.7347,000002,万科A,-1.4336917562724039
2020-02-10,3005.2815645,3185.04703056,2990.94444144,3161.88706254,91123804,2575641111.92,0.938,000002,万科A,4.254545454545466
2020-02-11,3148.6527951,3256.73264586,3148.6527951,3207.10414296,68535405,2004428742.47,0.7054,000002,万科A,1.4300662713637946
2020-02-12,3197.17844238,3231.3669666,3181.7384637,3207.10414296,41758679,1213044773.8,0.4298,000002,万科A,0.0
2020-02-13,3251.21836776,3391.2810315,3249.01265652,3303.0525819,89569809,2704306520.96,0.922,000002,万科A,2.9917469050894097
2020-02-14,3308.56686,3396.7953096,3305.25829314,3396.7953096,119770317,3648835020.15,1.2328,000002,万科A,2.8380634390651194
2020-02-17,3412.23528828,3413.3381439,3299.74401504,3354.88679604,102213900,3098649744.01,1.0521,000002,万科A,-1.2337662337662425
2020-02-18,3309.66971562,3314.0811381,3255.62979024,3275.4811914,78595188,2334626806.99,0.809,000002,万科A,-2.3668639053254337
2020-02-19,3277.68690264,3319.5954162,3258.9383571,3269.9669133,60820721,1812951829.54,0.626,000002,万科A,-0.16835016835016203
2020-02-20,3254.52693462,3294.22973694,3229.16125536,3292.0240257,80199628,2370776285.63,0.8255,000002,万科A,0.6745362563237656
2020-02-21,3286.5097476,3286.5097476,3198.281298,3225.8526885,105920154,3098548224.91,1.0903,000002,万科A,-2.010050251256279
2020-02-24,3209.3098542,3214.8241323,3134.31567204,3187.2527418,94999558,2730214174.24,0.9778,000002,万科A,-1.1965811965812034
2020-02-25,3178.42989684,3269.9669133,3176.2241856,3234.67553346,105297000,3080948536.91,1.0838,000002,万科A,1.487889273356413
2020-02-26,3181.7384637,3414.44099952,3154.1670732,3320.69827182,165445671,5002513795.44,1.703,000002,万科A,2.659393112853725
2020-02-27,3333.93253926,3337.24110612,3240.18981156,3272.17262454,92275882,2745257988.29,0.9498,000002,万科A,-1.4613085353703092
2020-02-28,3225.8526885,3374.7381972,3218.13269916,3263.34977958,110129976,3303591400.5,1.1336,000002,万科A,-0.26963262554769996
2020-03-02,3297.5383038,3488.33232606,3297.5383038,3433.18954506,137574700,4275882349.82,1.4161,000002,万科A,5.2044609665427455
2020-03-03,3475.09805862,3488.33232606,3355.98965166,3429.8809782,94283195,2913732843.5,0.9705,000002,万科A,-0.09637006103437873
2020-03-04,3449.73237936,3578.7664869,3390.17817588,3557.81223012,112979624,3595379313.28,1.1629,000002,万科A,3.729903536977508
2020-03-05,3504.87516036,3606.3378774,3485.0237592,3562.2236526,92417006,2966839995.1,0.9513,000002,万科A,0.12399256044637319
2020-03-06,3508.18372722,3528.03512838,3417.74956638,3433.18954506,67952896,2124469847.02,0.6995,000002,万科A,-3.6222910216718307
2020-03-09,3374.7381972,3433.18954506,3309.66971562,3369.2239191,84361344,2579914142.16,0.8683,000002,万科A,-1.8631545133312
2020-03-10,3374.7381972,3481.71519234,3330.6239724,3396.7953096,76599364,2358611141.04,0.7885,000002,万科A,0.8183306055646655
2020-03-11,3400.10387646,3418.852422,3348.26966232,3350.47537356,56331860,1728508587.34,0.5798,000002,万科A,-1.3636363636363558
2020-03-12,3309.66971562,3378.04676406,3264.4526352,3303.0525819,59349428,1776382654.98,0.6109,000002,万科A,-1.4154048716260803
2020-03-13,3143.138517,3286.5097476,3110.0528484,3247.9098009,73253061,2122142606.1,0.754,000002,万科A,-1.6694490818030094
2020-03-16,3249.01265652,3249.01265652,3119.97854898,3147.54993948,64661459,1868241398.21,0.6656,000002,万科A,-3.0899830220713076
