firm_id,opportunity,collateral,bank_access,risk,size,p_loan_true,D,loan_amt,log_loan_pos,loan_count_hurdle,loan_count_zi,structural_zero,loan_share
1,-0.6213824158047639,-1.4979759784026254,-1.2368578024569359,0.292089943445233,-0.37871087319354246,0.036438164301909284,0,0.0,,0,0,1,0.04018905372323568
2,0.8616079974865616,1.4166968721911497,-0.5575672825273191,0.2933634587490442,0.8498847541414514,0.6401465871263184,0,0.0,,5,4,0,0.445001634654285
3,-0.4239614544231755,-0.9755564328239622,-0.4683976913089362,-1.617673415428169,0.23490825991635636,0.21384471975700062,0,0.0,,1,0,1,0.2934647989052533
4,1.1512115236775962,-2.161833027287409,0.2982607017657558,-0.15917079124914765,-2.0823101450043993,0.08401852069226207,0,0.0,,0,0,1,0.13547421227239895
5,-0.08426413193428514,-0.14720384961530594,-0.14003475184537803,-0.7040078236819095,1.083729425996687,0.40165968375167005,0,0.0,,0,0,1,0.5764983494990433
6,0.41152365812368513,-0.6120043292149887,-1.2661947821677093,1.9273992444114914,-0.4898962334951752,0.05211998117567928,0,0.0,,0,0,1,0.12252717981834339
7,0.17675861050454553,1.9114490607272585,0.5486620433523633,0.4335965843799006,-1.435210534517918,0.8930292691970678,1,33.48739438626038,3.511169081040009,3,0,1,0.757928305158031
8,0.021795481265462633,1.8291451967550891,-1.0105704631097339,-0.4014628843634867,-0.45483015200544846,0.6989977505182267,1,23.697503528360308,3.1653697062367168,0,5,0,0.7181418356035191
9,-0.2624437386337249,-0.18937742964664342,-0.5966235536386088,-0.08144265046288598,-0.08098914172621283,0.2503770019907017,0,0.0,,1,2,0,0.2681152528507936
10,-0.12818557252968737,1.8251129363015817,0.5495441036685024,-0.5311492047632027,-1.4697078402485444,0.9141657155003847,1,17.04337706834384,2.8357616865271265,5,0,1,0.9228827600563009
11,2.370367699428104,1.767121148949276,0.1765165810521494,1.0067801044653593,0.605259104263796,0.8036319962412909,1,199.68979100611952,5.296765117463133,0,3,0,0.78206328493094
12,0.06855243146400317,1.5100898758963275,-0.15766784048832053,-0.6120354817077367,0.29605430665310695,0.7982716292148514,1,22.8061349643357,3.1270295771487135,0,3,0,0.7100920588622256
13,-1.3306953179794594,0.36739581534533183,-1.8677479817500344,-0.39071567582849226,0.3923906501921934,0.17030394263778623,1,5.890080131089049,1.773269602170113,0,0,1,0.3659905510322413
14,0.3872523590606339,0.49362487188711307,-1.1433025195672761,0.4800032426935558,2.252021874798531,0.25708952618614384,1,38.834991060729784,3.659321671685664,3,5,0,0.1610610647754824
15,-0.13751658379085915,-0.7446893513386058,-0.624395449200184,-0.7754618326463,-0.382601612213957,0.18378333232407856,0,0.0,,0,3,0,0.3979684399506757
16,-0.5873624014342558,1.5709435891405423,1.2268760761308122,-0.018077914485194864,1.7462496164470438,0.9275666276537816,1,14.854057232782775,2.698273042261277,2,2,0,0.7719417817726556
17,0.3790226836333079,-1.6760910638882722,-1.0633436760984352,1.5526243994064557,-0.3179660970877375,0.023038169431678322,0,0.0,,1,0,1,0.01114250674210692
18,1.3008023386307686,-1.615886650928393,-0.46222683443870716,0.7939137511012968,0.027951266546603643,0.054968362068466996,0,0.0,,0,0,1,0.1897254987902209
