firm_id,collateral,bank_access,risk,opportunity,size,s_star,D,loan_rate,rate_star,u,v
1,-1.0326810757246052,-0.5003574255145722,0.19870761770167739,-0.04678308747473616,0.04745327049122238,-1.3937501336997646,0,,6.7903644415464814,0.6659038845858684,0.5226935695863466
2,0.013186595315512927,0.8556292841053756,0.5183048271089111,-0.5296145936062916,0.4257950071660568,0.4051250185815527,1,5.26408732075977,5.26408732075977,-1.6097796599229317,0.188179214008337
3,1.166205111302663,-0.28380551428177275,0.2150240979969171,0.7280394253012588,0.16552184742423232,1.337909475130984,1,5.527024275418892,5.527024275418892,0.1857281121682862,0.6853603422616182
4,-1.0086657359328697,-0.25732564024624927,2.4912123344245516,-1.442516991812285,-1.48219197399877,-2.942697882133361,0,,8.902645979327717,0.42686821654054974,0.6930724252389416
5,-0.14742785123143076,-0.4259267170583313,0.7711388293815802,1.147512005609053,0.715617567565962,0.3722709445302681,1,6.9939830755054055,6.9939830755054055,1.118720092709294,1.5157735695873211
6,-0.6541983953831537,0.8105947629281448,0.3418193847778977,0.49815231433300067,-0.8884130545963286,0.698397600558119,1,7.126138602599837,7.126138602599837,1.0245822485398892,0.8582055705835439
7,-0.7154010002295751,-0.7394875249659272,1.1094228697481405,0.7968161049160601,-0.14054306577946094,-0.8024378487883383,0,,7.906220234359224,1.4784940578438248,1.5621289839833536
8,0.13567922564855253,-0.30547101239386765,-1.4720159190538082,-1.0106708995571463,0.0780585705191736,0.28304185535228255,1,4.571722051003972,4.571722051003972,0.18109626880980445,-0.23377056666163598
9,1.2597582106760774,0.3230526294823815,0.29804684380683616,-0.0998516395062591,-0.8568516582975909,0.8382926554206354,1,5.228257962798771,5.228257962798771,-0.7810199841678609,-0.31716535545556374
10,-0.04987673871637313,-0.7156764480243004,0.7047156417788877,2.0786484119905673,-0.14162662703007356,-2.5015571056316475,0,,7.16488571502272,1.300195566695061,-1.387413047553707
11,-0.9784153369541229,0.9676313916616575,-1.5704922531313843,-0.35691736851788564,0.009599870981149086,1.2137670618034855,1,4.699249888623827,4.699249888623827,-0.3712702248138585,0.26968372136790675
12,0.08686782476440079,0.03197991416955036,-0.2656558268568408,-0.3059901185214064,0.7087808967544518,1.020545332587681,1,5.43161442325504,5.43161442325504,0.069579230142228,0.962054751506903
13,0.3307457769881127,-0.06377966388854094,0.9594826378894281,-1.58526052493024,-0.37099374154594406,-1.5472753803018784,0,,7.021900952232059,0.8745046570209214,-0.574388426803904
14,-0.875774156033782,0.41108212127647326,-0.981605625165333,-0.6927296569753078,0.04468195252737508,-1.7960710471104044,0,,5.214535218145891,-0.24774905486054988,-1.7495914058958577
15,-0.8480475169355061,0.07664577117879848,0.7604349463749079,-0.7440312045001287,0.3632015786598357,-1.6988185932240831,0,,6.776423002745228,0.03831314806826743,-0.012116685345108602
16,0.22671251485075358,-1.0457569792665815,-0.4899082952944436,1.536993412297865,0.8075936870390145,-0.9315841161777356,0,,5.559859745983625,0.7996748474082623,-0.5350817067289843
17,-0.3992263375419762,-1.0688478512914772,0.8796076126062699,-1.90574342518316,-1.395352670289567,-2.7797693840201685,0,,6.888859220397871,-0.21369024776229392,-0.01739840813080689
18,-0.1354795566664614,-0.4442599798004814,0.33526247189191505,1.7189864104558026,-2.2322288093132308,0.7527482542292001,1,8.023986950669775,8.023986950669775,2.602913249452895,1.4623503615139428
19,-0.5776688488887718,1.225522411914747,-0.10780838783140805,0.8348616193878915,-0.4304129219898159,0.004662849306528938,1,6.264053025084918,6.264053025084918,0.38119379698855294,-0.7522954490663182
20,0.3786493655546422,-0.703185045473293,-1.4189651338529006,-0.5263094729914827,-0.1713278233468161,1.5336339452384309,1,5.333497580171156,5.333497580171156,1.5922628977751763,1.1343669216393675
21,-0.49727290791848344,-1.3389200542582171,1.7090062347314325,-0.8096035143020625,0.45881533272813607,-3.350403658971323,0,,7.166008178025176,-0.3975579336622417,0.19641068482727506
22,1.6228678800944438,0.9700164767126022,-1.012105366064648,0.0690743374094321,-0.6641566505775442,4.259354931922578,1,4.863751065673596,4.863751065673596,0.9481815322827963,1.0450758592495304
23,1.328195877287232,-1.1037337285036082,-0.38073817022617135,-0.5626425299332988,-0.967499175574293,0.0817402769115643,1,5.689070145557264,5.689070145557264,1.121610727116192,-0.06056030712984787
24,-1.3181262832210257,0.2968693490388453,-0.730920236058692,0.3985396099341629,-0.15967192992854454,0.7644264738164197,1,6.050073396868385,6.050073396868385,0.4477534256056421,1.342941841515806
25,0.49672535244412125,-0.7039688887849331,-0.6220357018551652,-0.1038989521923358,-1.839491637898206,-1.9036603139607164,0,,5.209691225701778,-0.37445517582021437,-1.9069653191335647
26,1.3555516923561666,-0.9543720577561211,0.3268478443894594,-0.8997449245411047,0.08969675633770553,-0.02161711155944307,0,,5.240278125304972,-0.3810998719968221,0.25000672492863313
27,1.4283967750876894,-0.34681199691842957,-1.2941822730228971,0.9938331419020676,0.470944917460243,3.510879405519831,1,4.629163444353812,4.629163444353812,1.2112471067359685,1.4772318940489064
28,-1.9895410171553511,0.5658407995271874,0.5568831840469776,-0.3762026602830563,0.6955964367750005,0.8445373286338609,1,8.157931400378125,8.157931400378125,2.0516482246787042,2.9328484263775096
29,-0.5900705405919943,-0.8477998891586912,-0.21901159926288674,0.7889385974866059,2.125338527167775,-2.7288082291281777,0,,4.925226404648539,-0.9619595887469986,-1.3705942238640436
30,1.799410603263672,-1.351101415929228,-0.14284905873730908,-0.9064602059831987,-0.3517568630022796,-0.7478478978701805,0,,5.512760281388429,1.0428461457878873,-0.8544467672645052
