firm_id,size,cash,lev,profit,collateral,bankbranch,policy_window,borrow_latent,borrow,ln_loan_amt_latent,loan_amt,ln_loan_amt,contract_latent,contract_observed,reported,green_share,green_patents
1,0.9878159487555718,0.12453095169416455,0.2639903011187354,-0.7078206543651752,0.4132959557481599,0.36200438690129744,0,0.07884406545868972,1,3.4086901239379097,30.225626493277716,3.4086901239379097,2.1431005682068918,2.1431005682068918,1,0.21649812364266158,1
2,0.8660358504435016,0.2290872622553243,0.6246486231639271,0.5319362362178168,0.9780741630135666,-0.7515471293612972,1,1.6120554381830727,1,3.385990282725783,29.547238352772457,3.385990282725783,3.1031204300578157,3.1031204300578157,1,0.3140344762629993,1
3,0.6621255929105386,0.34724517456906495,0.30722908619883066,1.1983837922827798,0.517646931530453,-1.2774741529986993,0,0.42517258893808996,1,3.037326568817467,20.849429146754744,3.037326568817467,2.2251222027066166,2.2251222027066166,1,0.3397783901630087,2
4,-0.14713133698024178,0.07809104858363987,0.3925901041857685,-0.3734432540515933,0.5987851520704667,-1.7110397726739608,0,-1.1628215006140838,0,1.0021558805913648,0.0,,1.0618133848086335,,0,0.0,0
5,-0.2584649534146569,0.23122050236583502,0.15025125445673082,-0.0013727135593472005,0.3912218412334354,0.4657123965690284,1,1.5968435945483548,1,2.1928405726028095,8.96063031888892,2.1928405726028095,0.575367245631457,,0,0.4950966099321687,0
6,0.46367109300382175,0.3411680933103562,0.5820430155759236,0.8112845888014946,0.2774418606658579,0.8654831023086079,1,1.166573588869183,1,2.9321886225148335,18.768663096484232,2.9321886225148335,2.208337775307426,2.208337775307426,1,0.6491249686158276,1
7,1.0516579797765735,0.42978499233944617,0.32850177784678447,-0.026924144064657672,0.3724831760740322,-0.2879220112519007,0,0.4822554175103098,1,3.343785901385813,28.326164024829453,3.343785901385813,2.1683044317173197,2.1683044317173197,1,0.42295642540701095,1
8,-0.27355484716792394,0.2319761871960947,0.19661328405316572,0.1901079984034449,0.7271808466521568,0.15441621723320012,0,-0.633774449976612,0,2.414264511845347,0.0,,1.1772470896420693,,0,0.2813550271017679,1
9,0.9256006791617809,0.30332258996248973,0.5432063098539407,0.5010376074570735,0.5668413467286165,-0.3993539650151375,1,-0.27087779662071376,0,3.1268049683023227,0.0,,3.6966158229712915,3.6966158229712915,1,0.0,0
10,-0.5325701451837445,0.1266998058580011,0.625889634261898,-0.708443686808522,0.26751435405135227,1.1306248171183555,1,-0.21788351303493947,0,1.8495629626553118,0.0,,0.6808959638537824,,0,0.07223851245021612,0
11,-0.3588780194036283,0.4333726739278802,0.3153879039016114,1.7771739888298081,0.31041371510497895,0.4345066615190699,0,1.135247714103076,1,2.0651648033442163,7.886597528207365,2.0651648033442163,1.5333429742447795,1.5333429742447795,1,0.5862608649673047,1
12,-1.837442791614411,0.24160641744749264,0.15218552481719463,0.5503094261919704,0.4243800106244435,-0.48368321714447904,1,0.15101187773919722,1,0.9245246548020648,2.5206697872575448,0.9245246548020648,0.3906922157121785,,0,0.11911551260987864,0
13,-0.284311863965049,0.19170717996163683,0.43234658579996504,0.119248371789273,0.5943156363524448,0.04902315688160467,0,-0.9617878170992055,0,1.85958339177955,0.0,,2.1709122137145505,2.1709122137145505,1,0.2311234725055798,0
14,1.0976762359283905,0.11815102440428162,0.2524398891650463,0.6455444021785353,0.32108212898342675,1.279855729606162,1,1.685846252651305,1,3.164268697155114,23.671426719800028,3.164268697155114,0.8929460070732851,,0,0.6454681115103786,2
15,0.1417973269157811,0.19863714782948366,0.5141005692399615,0.009513270148625632,0.5728845955963289,0.744335517258495,1,0.5188943898248681,1,1.181696762612772,3.259900790692962,1.181696762612772,2.276773237122664,2.276773237122664,1,0.40604836296243907,0
16,-0.4962899669077759,0.3703118760166911,0.3361543779466999,0.3322613301401316,0.4231588945061706,-2.5211195487704434,0,-1.9475682022383958,0,2.57494395995149,0.0,,1.1553662348715956,,0,0.0,0
17,-0.026325498988796287,0.12017169523741446,0.09788407511407339,-0.0666949351175884,0.5599753171468269,1.021375289180598,0,0.4601514048925899,1,2.218156494282293,9.190372734794689,2.218156494282293,-1.8619518135962607,,0,0.3942110156893631,1
18,-0.35097157166225834,0.5790092732225323,0.42628054328069326,0.908058280433065,0.6828822123178324,-0.2374050352202007,1,1.01445379829343,1,1.468347443494075,4.342053719721198,1.468347443494075,1.0115813474351556,,0,0.3280544246229301,2
19,0.7172973414736092,0.34107380132488624,0.18908670444578926,-0.3449791359781852,0.5135323515169224,-0.5577617585283501,1,1.6309345981141412,1,2.6724253542707608,14.475033738538704,2.6724253542707608,0.6125175126879412,,0,0.20625914658482233,0
20,-0.8538385433612108,0.16182590603186708,0.44041758286698085,0.7555056240705954,0.23282788731351267,0.7715437498569399,0,-1.8849471849176092,0,2.673816161915728,0.0,,0.7458774004633235,,0,0.21379478210566874,0
21,-0.5451037959642129,0.5338289077474792,0.4674165563049225,0.45782359088848446,0.4125536530316273,0.27069586477371593,1,0.009454740860352584,1,2.2167956957885004,9.17787499480125,2.2167956957885004,2.5410427983611936,2.5410427983611936,1,0.0,1
22,1.799791775857191,0.429422936200815,0.38197838629610514,-0.18742089993497654,0.8460371494502446,-0.7639025126182957,1,0.48288374844555204,1,3.9663084656621184,52.78929720225412,3.9663084656621184,3.3247841387095898,3.3247841387095898,1,0.34227261656951025,4
23,0.11263904872765702,0.2744074081818062,0.297953712302813,-0.4545241001909236,0.2514859959328919,-0.4531296696941306,1,-0.6723015989684114,0,1.9883422364834702,0.0,,2.9487145104049928,2.9487145104049928,1,0.18105182048586863,0
